classNbr,subj,crs,courseTitle,sbc,cmp,sctn,credits,day,startTime,endTime,past_instructors,recent_two_instructors,most_recent_instructor,avgGrade,likes,location,id,semesters
"95441, 54601, 92267, 52040",EST,305,Applications Software for Information Management,NaN,LEC,90,3,"TUTH, MW, TUTH, MW","12:30 PM, 2:00 PM, 9:00 PM, 2:00 PM","1:50 PM, 3:20 PM, 10:20 PM, 3:20 PM",{},{},?,0,0,"{A313, A313, A313, A115}",6436c2697efba14cf3f90071,?
"95577, ?, 92345, 52108",EST,310,Design of Computer Games,TECH,LEC,90,3,"MW, MW, MW, MW","10:30 AM, 10:30 AM, 10:30 AM, 10:30 AM","11:50 AM, 11:50 AM, 11:50 AM, 11:50 AM",{},{},?,0,0,"{A211, A211, A312, A312}",6436c2697efba14cf3f90072,?
"95421, 54789, 92247, 52179",EST,371,Data Science Management,NaN,LEC,90,3,"MW, TUTH, MW, F","2:00 PM, 2:00 PM, 2:00 PM, 2:00 PM","3:20 PM, 3:20 PM, 3:20 PM, 4:50 PM",{},{},?,0,0,"{B103, B105, B205, B204}",6436c2697efba14cf3f90078,?
"95424, 54604, 92250, 52043",EST,440,Interdisciplinary Research Methods,"Partially: CER, ESI, EXP+, SBS+, SPK, STEM+, WRTD",LEC,90,1 to 3,"TUTH, TUTH, TUTH, TUTH","10:30 AM, 10:30 AM, 10:30 AM, 10:30 AM","11:50 AM, 11:50 AM, 11:50 AM, 11:50 AM",{},{},?,0,0,"{A312, A114, B313, C105}",6436c2a83023723180f7ebce,?
"95682, 96951, 56743",EST,475,Undergraduate Teaching Practicum (Tutorial),EXP+,TUT,"T104, T90, T93",3,"APPT, APPT, APPT","-, -, -","-, -, -",{},{},?,0,0,"{-, -, -}",6436c26a7efba14cf3f9007f,?
?,EST,488,Internship in Tech & Society,EXP+,TUT,?,1 to 3,"APPT, APPT, APPT, APPT","-, -, -, -","-, -, -, -",{},{},?,0,0,"{-, -, -, -}",6436c26a7efba14cf3f90080,?
?,EST,499,Research in Tech & Society,EXP+,TUT,?,0 to 3,"APPT, APPT, APPT, APPT","-, -, -, -","-, -, -, -",{},{},?,0,0,"{-, -, -, -}",6436c26a7efba14cf3f90085,?
56246,EST,561,Sensing Technologies for Disater Risk Reduction,NaN,LEC,90,3,TH,4:00 PM,6:50 PM,{},{},?,0,0,{B206},6436c2a93023723180f7ebdb,?
97377,EST,599,Special Projects and Topics - Artificial Intelligence in Ed,NaN,TUT,T90,1 to 12,APPT,-,-,{},{},?,0,0,{-},65e6b3edee7bd45c98acc77a,?
"96322(96427), 92465(92486)",EMP,501,Behav & Organz Aspects of Mgmt,NaN,LEC(SEM),90(S90),3,"TH(TH), TH(TH)","7:00 PM(8:30 PM), 5:00 PM(6:30 PM)","8:20 PM(9:50 PM), 6:20 PM(7:50 PM)",{},{},?,0,0,"{B204, B104}",6436c26b7efba14cf3f9009b,?
"54859, 52220",EMP,502,Engineering Economics,NaN,LEC,90,3,"W, W","7:00 PM, 7:00 PM","9:50 PM, 9:50 PM",{},{},?,0,0,"{B204, B204}",6436c2aa3023723180f7ebee,?
"95612, 92360",MEC,325,Manufacturing Processes,NaN,LEC,90,3,"MW, MW","3:30 PM, 3:30 PM","4:50 PM, 4:50 PM",{},{},?,0,0,"{A114, A312}",6436c26c7efba14cf3f900a6,?
56480,MEC,455,Applied Stress Analysis,NaN,LEC,90,3,MW,10:30 AM,11:50 AM,{},{},?,0,0,{B618},65ea0dff50d4111ca6f57af9,?
96397,MEC,507,Mathematical Methods I,NaN,LEC,90,3,TUTH,12:30 PM,1:50 PM,{},{},?,0,0,{B205},6436c26d7efba14cf3f900b6,?
"56222, 52367",MEC,510,Object-Oriented Programming for Scientists and Engineers,NaN,LEC,90,3,"TUTH, F","10:30 AM, 12:30 PM","11:50 AM, 3:20 PM",{},{},?,0,0,"{A704, A117}",6436c2ab3023723180f7ebfe,?
56261,MEC,541,Elasticity,NaN,LEC,90,3,MW,10:30 AM,11:50 AM,{},{},?,0,0,{B618},6436c2ab3023723180f7ebff,?
57071,MEC,637,Special Topics in Precision Engineering,NaN,LEC,90,3,TUTH,12:30 PM,1:50 PM,{},{},?,0,0,{B104},65ea0d9750d4111ca6f57af8,?
"95635, ?, 92373, 52227",MEC,698,Practicum in Teaching II,NaN,TUT,T90,1 to 3,"APPT, APPT, APPT, APPT","-, -, -, -","-, -, -, -",{},{},?,0,0,"{-, -, -, -}",6436c26d7efba14cf3f900c0,?
"96982, 56470",ARS,154,Foundations: Drawing,ARTS,LAB,90,3,"MW, TUTH","9:00 AM, 9:00 AM","11:50 AM, 11:50 AM",{},{},?,0,0,"{A704, A704}",65eada2650d4111ca6f57b01,?
"95670(95669), 56223(56224), 88863(88862), 49113(49114)",ARS,225,Introduction to Digital Art,ARTS; TECH,LEC(LAB),"90(L90), 90(L90), 90(L90), 90(L90)",3,"W(F), W(F), W(F), W(F)","9:00 AM(12:30 PM), 9:00 AM(12:30 PM), 9:00 AM(12:30 PM), 9:00 AM(12:30 PM)","11:50 AM(3:20 PM), 11:50 AM(3:20 PM), 11:50 AM(3:20 PM), 11:50 AM(3:20 PM)",{},{},?,0,0,"{A115, A115, A115, A724}",6436c26d7efba14cf3f900ca,?
"95568(95569), 54783(54784), 88842(88843), 48443(48444)",CHI,112,Elementary Chinese II,LANG,LEC(REC),90(R90),4,"MW(RECM), MW(RECM), MW(RECM), MW(RECM)","9:00 AM(10:30 AM), 9:00 AM(10:30 AM), 9:00 AM(11:00 AM), 9:30 AM(11:00 AM)","10:20 AM(11:25 AM), 10:20 AM(11:25 AM), 10:50 AM(11:55 AM), 11:00 AM(11:55 AM)",{},{},?,0,0,"{A704(A724), B314(A724), A114, A114}",6436c26e7efba14cf3f900d8,?
"96398, 94605",CAR,151,Career & Life Design I,NaN,SEM,S90,2,"TH, TH","3:30 PM, 3:30 PM","5:20 PM, 5:20 PM",{},{},?,0,0,"{A114, A114}",6436c26e7efba14cf3f900ce,?
"96339, 56204, 94603, 54089",CAR,251,Career & Life Design II - Employability Skills,NaN,SEM,S90,2,"F, TH, F, TH","10:00 AM, 3:30 PM, 10:00 AM, 3:30 PM","11:50 AM, 5:20 PM, 11:50 AM, 5:20 PM",{},{},?,0,0,"{B105, A114, A114, A114}",6436c26e7efba14cf3f900cf,?
"54701, 52127",ESG,198,Fundamentals of Engineering Chemistry,NaN,LEC,90,3,"TUTH, TUTH","10:30 AM, 10:30 AM","11:50 AM, 11:50 AM",{},{},?,0,0,"{B103, A312}",6436c2ae3023723180f7ec0c,?
"95593(95592), 88847(88846)",HIS,103,American History to 1877,DIV; SBS; USA,LEC(REC),90(R90),3,"TUTH(RETH), TUTH(RETH)","3:30 PM(12:30 PM), 3:30 PM(12:30 PM)","4:25 PM(1:25 PM), 4:25 PM(1:25 PM)",{},{},?,0,0,"{C103, C107}",6436c26f7efba14cf3f900e7,?
96941,HIS,237,"Science, Technology, and Medicine in Western Civilization I",STAS,LEC,90,3,MW,9:00 AM,10:20 AM,{},{},?,0,0,{C105},65eadde050d4111ca6f57b04,?
"95521, 54801, 88830, 48445",MAP,103,Proficiency Algebra,NaN,LEC,90,3,"MW, MW, MW, MW","10:30 AM, 2:00 PM, 2:00 PM, 2:00 PM","11:50 AM, 3:20 PM, 3:20 PM, 3:20 PM",{},{},?,0,0,"{B204, A724, A704, A724}",6436c26f7efba14cf3f900ed,?
"95523(95522), 54766(54765), 88832(88831), 48439(48438)",MAT,122,Overview of Calculus with Appl,QPS,LEC(REC),90(R90),3,"MW(RECM), MW(RECM), MW(RECM), MW(RECM)","10:30 AM(12:30 PM), 10:30 AM(12:30 PM), 10:30 AM(12:30 PM), 10:30 AM(12:30 PM)","11:50 AM(1:25 PM), 11:50 AM(1:25 PM), 11:50 AM(1:25 PM), 11:50 AM(1:25 PM)",{},{},?,0,0,"{B103, B103, C107, C103}",6436c26f7efba14cf3f900ee,?
"95528, 56262, 88834, 56485",POL,101,World Politics,GLO; SBS,LEC,90,3,"W, TH, TUTH, MW","9:00 AM, 9:00 AM, 9:00 AM, 9:00 AM","11:50 AM, 11:50 AM, 10:20 AM, 10:20 AM",{},{},?,0,0,"{C105, C103, C107, C103}",6436c2707efba14cf3f900fd,?
"95478/95479, 54691/54692, 88818/88819, 48416/48417",PHY,133,Classical Physics Laboratory I,NaN,LAB,"L90/L91, L90/L91, L90/L91, L90/L91",1,"F, F, F, F","9:00 AM/11:30 AM, 11:30 AM/9:00 AM, 9:00 AM/11:30 AM, 9:00 AM/11:30 AM","11:20 AM/1:50 PM, 9:00 AM/11:20 AM, 11:20 AM/1:50 PM, 11:20 AM/1:50 PM",{},{},?,0,0,"{C303, C303, C303, C303}",6436c2707efba14cf3f900fa,?
"95477, 54693, 88817, 48418",PHY,134,Classical Physics Lab II,NaN,LAB,"L91, L90, L91, L90",1,"W, W, W, W","2:00 PM, 2:00 PM, 2:00 PM, 2:00 PM","4:20 PM, 4:20 PM, 4:20 PM, 4:20 PM",{},{},?,0,0,"{C303, C303, C303, C303}",6436c2707efba14cf3f900fc,?
",",WRT,101,Introductory Writing Workshop - Yeji Seok,Partially fulfills: WRT,LEC,?,3,"TUTH/MW, TUTH","10:30 AM/2:00 PM, 10:30 AM/2:00 PM","11:50 AM/3:20 PM, 11:50 AM/3:20 PM",{},{},?,0,0,"{B206, B206}",65ead65250d4111ca6f57afe,?
",",WRT,101,Introductory Writing Workshop - Cassandra Santos,Partially fulfills: WRT,LEC,?,3,MW,10:30 AM,11:50 AM,{},{},?,0,0,{A117},65f6598050d4111ca6f57b18,?
",",WRT,102,Intermediate Writing Workshop - Terence Oliga,WRT,LEC,?,3,"MW/TUTH, MW","2:00 PM/10:30 AM, 2:00 PM/10:30 AM","3:20 PM/11:50 AM, 3:20 PM/11:50 AM",{},{},?,0,0,"{B104/B205, B104/B204}",65ead96f50d4111ca6f57b00,?
",",WAE,194,Advanced Writing Academic Eng - Christopher Houghton,NaN,LEC,?,3,"MW, MW, MW, TUTH","9:00 AM/2:00 PM, 9:00 AM/3:30 PM, 9:00 AM/10:30 AM/2:00 PM, 9:00 AM/10:30 AM/3:30 PM","10:20 AM/3:20 PM, 10:20 AM/4:50 PM, 10:20 AM/11:50 AM/3:20 PM, 10:20 AM/11:50 AM/4:50 PM",{},{},?,0,0,"{A116, A117, A116, B313/B313/A116}",6436c2707efba14cf3f90105,?
97042,MEC,464,Fundamentals of Aerodynamics,NaN,LEC,90,3,TUTH,3:30 PM,4:50 PM,{},{},?,0,0,{A724},65e81555ee7bd45c98acc77d,?
"95689, 92395",MEC,488,Mechanical Engnrng Internship,EXP+,TUT,T90,3 to 9,"APPT, APPT","-, -","-, -",{},{},?,0,0,"{-, -}",6436c26c7efba14cf3f900ac,?
95623,MEC,501,Conv Heat Transfer and Exchang,NaN,LEC,90,3,F,12:30 PM,3:20 PM,{},{},?,0,0,{B204},6436c26d7efba14cf3f900b5,?
54900,MEC,502,Conduction and Radiation Heat Transfer,NaN,LEC,90,3,M,12:30 PM,3:20 PM,{},{},?,0,0,{B313},6436c2ab3023723180f7ebfd,?
97005,MEC,529,Introduction to Robotics: Theory and Applications,NaN,LEC,?,3,MW,9:00 AM,10:20 AM,{},{},?,0,0,{A312},65e815acee7bd45c98acc77f,?
56521,MEC,696,Special Problems in Mechanical Engineering,NaN,TUT,T90,3,TUTH,12:30 PM,1:50 PM,{},{},?,0,0,{B104},6436c2ac3023723180f7ec01,?
"96963(96964), 56468(56469)",ARH,203,Arts of Asia,ARTS;GLO,LEC(REC),90(R90),3,"TUTH(RETUTH), TUTH(RETUTH)","9:00 AM(10:00 AM), 9:00 AM(10:00 AM)","9:50 AM(10:30 AM), 9:50 AM(10:30 AM)",{},{},?,0,0,"{A211, C105}",65eadc4f50d4111ca6f57b02,?
"95668, 54904, 88861, 48462",ARS,205,Foundations: Idea and Form,ARTS,LAB,L90,3,"MF, MF, MF, MF","9:00 AM, 9:00 AM, 9:00 AM, 9:00 AM","11:50 AM, 11:50 AM, 11:50 AM, 11:50 AM",{},{},?,0,0,"{A114, A114, B313, A115}",6436c26d7efba14cf3f900c9,?
"95448, 54695, 88802, 48419",BIO,201,Organisms to Ecosystems,SNW,LEC,90,3,"TUTH, MW, TUTH, TUTH","9:00 AM, 9:00 AM, 9:00 AM, 2:00 PM","10:20 AM, 10:20 AM, 10:20 AM, 3:20 PM",{},{},?,0,0,"{C105, C103, C105, C107}",6436c26e7efba14cf3f900cd,?
"95542(95541)/95566(95567)/95600(95599)/95688(95687), 54763(54762)/54781(54782)/56205(56206), 88836(88835)/88840(88841)/88851(88850)/88866(88865), 48436(48435)/48441(48442)/49109(49110)",CHI,111,Elementary Chinese I,Partially fulfills: LANG,LEC(REC),"90(R90)/91(R91)/92(R92)/93(R93), 90(R90)/91(R91)/92(R92)",4,"MW(RECM)/TUTH(RETU)/TUTH(RETH)/MW(RECW), TUTH(RETU)/TUTH(RETH)/MW(RECM), MW(RECM)/TUTH(RECTU)/TUTH(RECTH)/MW(RECW), TUTH(TU)/TUTH(TH)/MW(M)","5:00 PM(6:30 PM)/2:00 PM(3:30 PM)/10:30 AM(9:30 AM)/2:00 PM(3:30 PM), 2:00 PM(3:30 PM)/10:30 AM(9:30 AM)/5:00 PM(6:30 PM), 4:30 PM(3:30 PM)/2:00 PM(3:30 PM)/10:30 AM(9:30 AM)/2:00 PM(3:30 PM), 1:30 PM(3:00 PM)/10:30 AM(9:30 AM)/2:00 PM(3:30 PM)","6:20 PM(7:25 PM)/3:20 PM(4:25 PM)/11:50 AM(10:25 AM)/3:20 PM(4:25 PM), 3:20 PM(4:25 PM)/11:50 AM(10:25 AM)/6:20 PM(7:25 PM), 5:50 PM(4:20 PM)/3:20 PM(4:25 PM)/11:50 AM(10:25 AM)/3:20 PM(4:25 PM), 2:50 PM(3:55 PM)/11:50 AM(10:25 AM)/3:20 PM(4:25 PM)",{},{},?,0,0,"{A724, B314, A114, A114}",6436c26e7efba14cf3f900d0,?
56227(56228),HIS,102,"Modern European History, 18th c. to the Present","GLO, SBS",LEC(REC),90(R90),3,MW(RECW),9:00 AM(10:00 AM),9:55 AM(10:55 AM),{},{},?,0,0,{C107},6436c2ae3023723180f7ec0f,?
"95493/95680, 54764/56245, 88828/88864, 48437/49119",KOR,220,Intermediate Heritage Korean,GLO; HUM; LANG,LEC,"90/91, 90/91, 90/91, 90/91",3,"M, M, M, M","9:00 AM/12:00 PM, 12:00 PM/9:00 AM, 9:00 AM/12:00 PM, 9:00 AM/12:00 PM","11:50 AM/2:50 PM, 2:50 PM/11:50 AM, 11:50 AM/2:50 PM, 11:50 AM/2:50 PM",{},{},?,0,0,"{C105, A704, A211, B203}",6436c26f7efba14cf3f900eb,?
"95491(95492), 54696(54697), 88826(88827), 48420(48421)",MAT,123,Precalculus,QPS,LEC(REC),90(R90),3,"MW(RECM), MW(RECM), MW(RECM), MW(RECM)","5:00 PM(12:30 PM), 5:00 PM(12:30 PM), 5:00 PM(10:30 AM), 5:00 PM(12:30 PM)","6:20 PM(1:25 PM), 6:20 PM(1:25 PM), 6:20 PM(11:25 AM), 6:20 PM(1:25 PM)",{},{},?,0,0,"{C107, C107, C105, C105}",6436c26f7efba14cf3f900f0,?
95449,OAE,581,Oral Acad. English (Int.),NaN,LEC,90,3,F,9:00 AM,11:50 AM,{},{},?,0,0,{A117},6436c26f7efba14cf3f900f4,?
"95450, 54871",OAE,585,Oral Acad. English (Advanced),NaN,LEC,90,3,"F, F","9:00 AM, 9:00 AM","11:50 AM, 11:50 AM",{},{},?,0,0,"{A117, A116}",6436c2707efba14cf3f900f5,?
"97192, 56534",SPN,111,Elementary Spanish I,Partially fulfills: LANG,LEC,90,4,"MW, MW","9:00 AM, 9:00 AM","10:50 AM, 10:50 AM",{},{},?,0,0,"{B314, B314}",65eadf8850d4111ca6f57b08,?
?,WRT,101,Introductory Writing Workshop - Hyun-ju Kim,Partially fulfills: WRT,LEC,?,3,"MW, MW","10:30 AM, 10:30 AM","11:50 AM, 11:50 AM",{},{},?,0,0,"{B104, A117}",6436c2717efba14cf3f9010d,?
",",WRT,102,Intermediate Writing Workshop - Timothy Fletcher,WRT,LEC,?,3,"TUTH, TUTH, TUTH/MW/TUTH/TUTH, TUTH","9:00 AM/10:30 AM/2:00 PM, 9:00 AM/10:30 AM/2:00 PM, 9:00 AM/10:30 AM/10:30 AM/2:00 PM, 9:00 AM/10:30 AM","10:20 AM/11:50 AM/3:20 PM, 10:20 AM/11:50 AM/3:20 PM, 10:20 AM/11:50 AM/11:50 AM/3:20 PM, 10:20 AM/11:50 AM",{},{},?,0,0,"{B104, B206, B104/B206/B104/B104, B104}",6436c2717efba14cf3f90111,?
?,WRT,102,Intermediate Writing Workshop - Andrew Schenck,WRT,LEC,?,3,"TUTH, TUTH","10:30 AM/2:00 PM, 2:00 PM/3:30 PM","11:50 AM/3:20 PM, 3:20 PM/4:50 PM",{},{},?,0,0,"{B206, A116}",6436c2717efba14cf3f90112,?
",",WRT,102,Intermediate Writing Workshop - Corrine Spencer,WRT,LEC,?,3,TUTH/TUTH/MW,2:00 PM/3:30 PM/3:30 PM,3:20 PM/4:50 PM/4:50 PM,{},{},?,0,0,{B104/B205/A703},65f65b8950d4111ca6f57b19,?
",",WAE,194,Advanced Writing Academic Eng - Lindsay Dennison,NaN,LEC,?,3,"MW, MW, TUTH/TUTH/TUTH/MW, MW","3:30 PM/10:30 AM/9:00 AM, 2:00 PM/10:30 AM/9:00 AM, 9:00 AM/10:30 AM/3:30 PM/9:00 AM, 2:00 PM/10:30 AM/9:00 AM/3:30 PM","4:50 PM/11:50 AM/10:20 AM, 3:20 PM/11:50 AM/10:20 AM, 10:20 AM/11:50 AM/4:50 PM/10:20 AM, 3:20 PM/11:50 AM/10:20 AM/4:50 PM",{},{},?,0,0,"{A117, A116, A116/A116/A116/B206, A116}",6436c2707efba14cf3f90108,?
?,MEC,499,Research in Mechanical Engnrng,NaN,TUT,?,0 to 3,"APPT, APPT, APPT, APPT","-, -, -, -","-, -, -, -",{},{},?,0,0,"{-, -, -, -}",6436c26c7efba14cf3f900ae,?
96315,MEC,536,Mechanics of Solids,NaN,LEC,90,3,MW,10:30 AM,11:50 AM,{},{},?,0,0,{B618},6436c26d7efba14cf3f900b7,?
"54835, 52208",MEC,550,Mechatronics,NaN,LEC,90,3,"F, F","9:00 AM, 9:00 AM","11:50 AM, 11:50 AM",{},{},?,0,0,"{B105, A117}",6436c2ab3023723180f7ec00,?
56871,MEC,560,Advanced Control Systems,NaN,LEC,90,3,M,3:30 PM,6:20 PM,{},{},?,0,0,{B314},65ea0f3350d4111ca6f57afc,?
97201,MEC,564,Fundamentals of Aerodynamics,NaN,LEC,90,3,TUTH,3:30 PM,4:50 PM,{},{},?,0,0,{A724},65e8162dee7bd45c98acc782,?
?,MEC,599,Research,NaN,TUT,?,1 to 12,"APPT, APPT, APPT, APPT","-, -, -, -","-, -, -, -",{},{},?,0,0,"{-, -, -, -}",6436c26d7efba14cf3f900b9,?
"95524, ?, 92307, 52164",MEC,691,Mechanical Engineering Seminar,NaN,SEM,S90,NaN,"HTBA, HTBA, HTBA, HTBA","-, -, -, -","-, -, -, -",{},{},?,0,0,"{-, -, -, -}",6436c26d7efba14cf3f900bf,?
"95538(95537), 92318(92317)",ESG,332,Materials Sci I: Struct & Prop,NaN,LEC(REC),90(R90),3,"TUTH(RECTU), TUTH(RECTU)","10:30 AM(9:30 AM), 10:30 AM(9:30 AM)","11:50 AM(10:25 AM), 11:50 AM(10:25 AM)",{},{},?,0,0,"{A704, A724}",6436c26f7efba14cf3f900e0,?
96318(96319),HIS,101,Ancient Mesopotamia to Early Modern Europe,GLO; SBS,LEC(REC),90(R90),3,MW(RECW),9:00 AM(10:00 AM),9:55 AM(10:55 AM),{},{},?,0,0,{C107},6436c26f7efba14cf3f900e5,?
56478,HIS,238,"Science, Technology, and Medicine in Western Civilization II",STAS,LEC,90,3,MW,9:00 AM,10:20 AM,{},{},?,0,0,{C105},65ebefef50d4111ca6f57b0c,?
"95545, 54802, 88837, 48446",MUS,105,Music Cultures of the World,ARTS,LEC,90,3,"TU, TU, TU, TU","9:30 AM, 9:30 AM, 9:30 AM, 9:30 AM","12:30 PM, 12:20 PM, 12:30 PM, 12:20 PM",{},{},?,0,0,"{C103, C103, C103, C107}",6436c26f7efba14cf3f900f3,?
"95476, 56263, 88816, 56486",POL,102,Intro to American Government,SBS; USA,LEC,90,3,"MW, MW, MW, MW","2:00 PM, 2:00 PM, 2:00 PM, 2:00 PM","3:20 PM, 3:20 PM, 3:20 PM, 3:20 PM",{},{},?,0,0,"{C103, C103, C103, C105}",6436c2707efba14cf3f900fe,?
"95484(95485), 88824(88825), 48413(48412)",PHY,131,Classical Physics I,SNW,LEC(REC),90(R90),3,"TUTH(RECW), TUTH(RECW), TUTH(RECW), TUTH(RECW)","10:30 AM(9:30 AM), 10:30 AM(9:30 AM), 10:30 AM(9:30 AM), 10:30 AM(9:30 AM)","11:50 AM(10:25 AM), 11:50 AM(10:25 AM), 11:50 AM(10:25 AM), 11:50 AM(10:25 AM)",{},{},?,0,0,"{A211, A211, B105, A211}",6436c2707efba14cf3f900f6,?
"95480(95481), 88820(88821), 48414(48415)",PHY,132,Classical Physics II,SNW,LEC(REC),"90(R90), 91(R91), 90(R90), 91(R91)",3,"TUTH(RECW), TUTH(RECW), TUTH(RECW), TUTH(RECW)","9:00 AM(10:30 AM), 9:00 AM(10:30 AM), 9:00 AM(10:30 AM), 9:00 AM(10:30 AM)","10:20 AM(11:25 AM), 10:20 AM(11:25 AM), 10:20 AM(11:25 AM), 10:20 AM(11:25 AM)",{},{},?,0,0,"{A211(A114), A211(A114), B105, A211}",6436c2707efba14cf3f900f8,?
",",WRT,101,Introductory Writing Workshop - Adam White,Partially fulfills: WRT,LEC,?,3,"TUTH, MW/TUTH","2:00 PM/3:30 PM, 2:00 PM/3:30 PM","3:20 PM/4:50 PM, 3:20 PM/4:50 PM",{},{},?,0,0,"{B206, B313}",65ead69d50d4111ca6f57aff,?
?,WRT,101,Introductory Writing Workshop - Jessamine Price,Partially fulfills: WRT,LEC,?,3,"MW/TUTH/TUTH, TUTH","10:30 AM/2:00 PM/3:30 PM, 9:00 AM/2:00 PM/3:30 PM","11:50 AM/3:20 PM/4:50 PM, 10:20 AM/3:20 PM/4:50 PM",{},{},?,0,0,"{A116, B104}",6436c2707efba14cf3f9010b,?
?,WRT,101,Introductory Writing Workshop - Terrence Oliga,Partially fulfills: WRT,LEC,?,3,"TUTH, TUTH","9:00 AM/10:30 AM/2:00 PM, 10:30 AM/2:00 PM","10:20 AM/11:50 AM/3:20 PM, 11:50 AM/3:20 PM",{},{},?,0,0,"{A117, B104}",6436c2707efba14cf3f9010c,?
?,WRT,102,Intermediate Writing Workshop - Jessamine Price,WRT,LEC,?,3,TUTH,10:30 AM,11:50 AM,{},{},?,0,0,{B104},6436c2b03023723180f7ec27,?
